Year,Boston Celtics,New York Knicks,Golden State Warriors,Sacramento Kings,Los Angeles Lakers,Detroit Pistons,Philadelphia 76ers,Atlanta Hawks,Washington Wizards,Chicago Bulls,Houston Rockets,Oklahoma City Thunder,Brooklyn Nets,Denver Nuggets,Indiana Pacers,San Antonio Spurs,Milwaukee Bucks,Phoenix Suns,Cleveland Cavaliers,Los Angeles Clippers,Portland Trail Blazers,Utah Jazz,Dallas Mavericks,Miami Heat,Orlando Magic,Minnesota Timberwolves,Charlotte Hornets,Memphis Grizzlies,Toronto Raptors,New Orleans Pelicans
2022,117.9,116,118.9,120.7,117.2,110.3,115.2,118.4,113.2,113.1,110.7,117.5,113.4,115.8,116.3,113,116.9,113.6,112.3,113.6,113.4,117.1,114.2,109.5,111.4,115.8,111,116.9,112.9,114.4
2021,111.8,106.5,111,110.3,112.1,104.8,109.9,113.9,108.6,111.6,109.7,103.7,112.9,112.7,111.5,113.2,115.5,114.8,107.8,108.4,106.2,113.6,108,110,104.2,115.9,115.3,115.6,109.4,109.3
2020,112.6,107,113.7,113.7,109.5,106.6,113.6,113.7,116.6,110.7,108.8,105,118.6,115.1,115.3,111.1,120.1,115.3,103.8,114,116.1,116.4,112.4,108.1,104,112.1,109.5,113.3,111.3,114.6
2019,113.7,105.8,106.3,110.1,113.4,107.2,110.7,111.8,114.4,106.8,117.8,110.4,111.8,111.3,109.4,114.1,118.7,113.6,106.9,116.3,115,111.3,117,112,107.3,113.3,102.9,112.6,112.8,115.8
2018,112.4,104.6,117.7,114.2,111.8,107,115.2,113.3,114,104.9,113.9,114.5,112.2,110.7,108,111.7,118.1,107.5,104.5,115.1,114.7,111.7,108.9,105.7,107.3,112.5,110.7,103.5,114.4,115.4
2017,104,104.5,113.5,98.8,108.1,103.8,109.8,103.4,106.6,102.9,112.4,107.9,106.6,110,105.6,102.7,106.5,103.9,110.9,109,105.6,104.1,102.3,103.4,103.4,109.5,108.2,99.3,111.7,111.7
2016,108,104.3,115.9,102.8,104.6,101.3,102.4,103.2,109.2,102.9,115.3,106.6,105.8,111.7,105.1,105.3,103.6,107.7,110.3,108.7,107.9,100.7,97.9,103.2,101.1,105.6,104.9,100.5,106.9,104.3
2015,105.7,98.4,114.9,106.6,97.3,102,97.4,102.8,104.1,101.6,106.5,110.2,98.6,101.9,102.2,103.5,99,100.9,104.3,104.5,105.1,97.7,102.3,100,102.1,102.4,103.4,99.1,102.7,102.7
2014,101.4,91.9,110,101.3,98.5,98.5,92,102.5,98.5,100.8,103.9,104,98,101.5,97.3,103.2,97.8,102.4,103.1,106.7,102.8,95.1,105.2,94.7,95.7,97.8,94.2,98.3,104,99.4
2013,96.2,98.6,104.3,100.5,103,101,99.5,101,100.7,93.7,107.7,106.2,98.5,104.4,96.7,105.4,95.5,105.2,98.2,107.9,106.7,95,104.8,102.2,96.5,106.9,96.9,96.1,101.3,99.7
2012,96.5,100,101.2,100.2,102.2,94.9,93.2,98,93.2,93.2,106,105.7,96.9,106.1,94.7,103,98.9,95.2,96.5,101.1,97.5,98,101.1,102.9,94.1,95.7,93.4,93.4,97.2,94.1
