Year,Boston Celtics,New York Knicks,Golden State Warriors,Sacramento Kings,Los Angeles Lakers,Detroit Pistons,Philadelphia 76ers,Atlanta Hawks,Washington Wizards,Chicago Bulls,Houston Rockets,Oklahoma City Thunder,Brooklyn Nets,Denver Nuggets,Indiana Pacers,San Antonio Spurs,Milwaukee Bucks,Phoenix Suns,Cleveland Cavaliers,Los Angeles Clippers,Portland Trail Blazers,Utah Jazz,Dallas Mavericks,Miami Heat,Orlando Magic,Minnesota Timberwolves,Charlotte Hornets,Memphis Grizzlies,Toronto Raptors,New Orleans Pelicans
2022,42.6,35.7,43.2,37.3,31.2,32.4,32.6,30.5,31.7,28.9,31.9,34.1,34.1,31.2,37,32.2,40.3,32.6,31.6,33.4,35.3,37.8,41,34.8,31.1,33.3,32.5,34.2,32,30.1
2021,37.1,36.9,39.4,33.2,34.5,34.6,31.8,34.4,30.6,28.8,38.7,37.4,37.4,35.9,35.4,32,38.4,31.9,32.8,34.2,36.8,40.3,37.4,35.8,36.9,41.3,38.2,32.7,34.2,32.1
2020,36.4,30,38.7,33.3,31.2,32.9,30.1,33.4,29,34,40.6,35.1,35.1,34.2,34,28.4,37.1,34.6,29.7,34.7,40.8,43,38.1,36.2,31.8,37.6,37,31.4,39.3,30.4
2019,34.5,28.4,31.3,34.9,31.6,32.7,31.6,36.1,32.6,35.1,45.3,30.2,30.2,30.6,28,28.5,38.9,31.8,31.8,33.5,34.1,35.2,41.3,35.4,32.2,39.7,34.3,31.5,37,36.9
2018,34.5,29.5,34.4,29.9,31,34.8,30.2,37,33.3,25.9,45.4,32.6,32.6,31.4,25.4,25.3,38.2,29.3,29.1,25.8,30.7,34,36.6,32.4,32.1,28.7,33.9,28.9,33.8,29.9
2017,30.4,23.3,28.9,24,29.1,28.9,29.8,31,26.5,31.1,42.3,30.4,30.4,30.9,24.5,24.1,24.7,27.9,32.1,26.8,28.1,29.6,32.8,30.6,29.3,22.5,27.2,26.2,33,28.2
2016,33.4,24.7,31.2,23.9,25.7,23.4,29.8,26.1,24.8,22.3,40.3,25.8,25.8,28.8,23,23.5,23.7,22.6,33.9,27.4,27.7,26,30.2,27,26.1,21,28.6,26.5,24.3,26.8
2015,26.1,21.5,31.6,22.4,24.6,26.2,27.5,28.4,24.2,21.4,30.9,23.7,23.7,23.7,23,18.5,15.6,25.8,29.6,26.7,28.5,23.9,28.6,18,22.2,16.4,29.4,18.5,23.4,23.8
2014,24.6,19.7,27,16.5,18.9,24.9,26.3,26.2,16.8,22.3,32.7,22.7,22.7,24.8,21.2,22.5,18.3,25,27.5,26.9,27.2,21.7,25.4,20.2,19.5,14.9,19.1,15.2,25.1,19.3
2013,21.1,24.9,24.8,18,24.8,19.3,22.5,25.8,20.8,17.8,26.6,22.4,22.4,23.9,18.8,21.4,18.9,25.1,20,24,25.3,19.2,22.9,22.3,19.5,21.4,17.9,14,23.4,15.9
2012,17.2,28.9,19.9,20.5,24.6,17.6,17.5,23.2,18.2,15.4,28.9,19.4,19.4,18.5,19.7,21.5,20.4,17.7,19.3,21.4,23.2,16.9,19.9,22.1,18.7,18,17.1,13.5,20.3,18
2011,15,23.3,20.5,19.7,16.8,13.9,14.6,20.2,16.3,16.9,20.2,20,20,19.9,16.1,21.3,19.2,19.6,19.3,21.8,20.9,12.8,22.2,15.6,27,21.6,13.5,12.9,16.3,11.8
2010,13.6,25.4,21.3,15.6,18.1,15.3,15.2,17.4,14.4,17.3,22.5,17.1,17.1,20.8,20.2,21.1,17.2,22.6,18.2,18.5,18.3,15.3,21.6,18,25.6,19.1,14.7,11.3,13.3,15
2009,17.5,26.2,20.6,16.9,19,14.5,16.8,17.7,14.9,13,22.4,15,15,18.5,23.1,18.9,22.1,21.6,19.3,17.8,16.9,14.7,18.3,17.4,27.3,14.4,16.2,12.4,17,19.2
2008,16.5,27.9,18,19.4,18.5,13.2,13.1,19.9,14.6,15.8,20.2,11.6,11.6,18,21,19.8,17.2,17.6,20.4,18.5,19,13.7,19.9,19.9,26.2,18.8,16.3,13.5,15.7,18.6
2007,19.1,17.7,26.6,16.7,21.4,16.2,11.6,13.1,19.7,15.9,20.8,11.5,11.5,19.6,24.6,19.6,16,21.5,18.8,13.2,17.4,13.4,17.1,16.7,25.3,15.4,17.6,21.7,17.8,19.8
2006,15.6,16.7,24,18.5,21,15.9,10,12.7,19.7,15.1,23.1,17.7,17.7,17.6,16.9,19,18,24,17.1,11,15,12.9,17.1,18.8,11.7,13.3,15.6,16.6,17.9,15.3
2005,15.7,10.8,22.3,17.2,19.3,17.7,12.6,14.1,17,18,17.2,19.9,19.9,13.1,18.7,16.6,16.3,25.6,17.9,10.3,12.7,11.3,13.6,17.6,9.7,11.5,15.4,19.2,19.8,10.8
2004,15.3,15.1,21.6,17,22.1,12.8,17.7,11.9,18.3,17.5,18.5,22.2,22.2,11.5,19.2,17,11.3,24.7,11,8.2,14.2,9.3,15.5,15.4,11.2,14,10.7,18.1,20.5,16
2003,19.5,13.6,15.6,18.3,13.6,11.8,12.1,15.2,15.5,15.3,17.1,23.6,23.6,12,15.6,13.9,14,14.7,9.6,12.5,13.4,9.6,17.8,16.5,15.2,10.9,12.1,16,15.8,20.3
2002,26.3,19.3,15.1,15.7,16.7,18.1,9.6,13.9,9.9,12.2,15.5,15.7,15.7,10,13.6,15.5,18.6,14,10.9,14.4,14,7.8,20.3,13.4,19.4,9.8,12,15.6,14.5,13.1
2001,23.7,16.4,12.1,14.1,17.5,18.4,8.7,14.6,9.6,10.6,18,15.8,15.8,15.7,14.6,14.8,19.3,13.4,12.5,14,16.1,10.3,20.1,11,20.2,12.8,12.2,13.4,13.5,
2000,19.9,13.6,11.8,16.5,15.5,13.6,9.8,11.4,10.3,11.6,17.2,14.3,14.3,17.6,14.1,13.3,18.1,12.9,8,13,12.9,10.4,16.5,16.9,16.4,11,14.7,11.5,14.2,
1999,15.4,11.4,13,20.2,12.8,14.9,7.8,9.9,10.9,12.6,19.8,19.6,19.6,17,18.1,10.8,13,15.2,11.2,15.5,13.8,10.4,16.2,14.7,10.6,8.7,11,11,14.3,
1998,15.2,11.8,11.3,18.9,13.7,13.6,7.4,12.9,11.6,12.2,18.3,18,18,18.4,16,10.4,12.4,14,10.7,13.4,13.5,7.8,11.9,16.1,13.5,8.2,16.9,9.1,13.2,
1997,15.2,13.9,8.5,9.8,17.3,11.4,9.9,12.4,11.5,11.7,20.4,19.1,19.1,10.9,12.5,10.5,8.6,14.8,9.8,17.9,12.8,8.2,14.4,18.8,11.1,10.6,18.5,11,13.2,
1996,16.2,15.8,16.6,12.9,18.3,18.3,16.5,22.4,12.2,17.1,22.4,19.3,19.3,20.9,13.8,14.4,11.2,17.4,15.7,16.3,17.1,11,16,22.7,20.3,13.3,17.2,15.5,19.8,
1995,17.7,15.7,14.6,14.6,16.6,16.5,17.5,19.5,14.8,16.5,21.5,19.5,19.5,14,11.9,16.1,12.9,12,19.3,16.8,16.6,12.4,24.9,17.8,20.1,10.5,11.2,13.8,14.2,
1994,12,17.6,19.5,12.6,18.2,17,11.4,19.3,15.4,14.5,21.4,15.9,15.9,14.1,12,14.1,16.5,19.3,12.6,12.8,15.4,9.8,14.6,14.4,17.2,12.4,6.5,,,
1993,5.8,11.1,10.5,8.9,9.8,12.7,11.5,10.1,9.1,8,15.7,8.8,8.8,7.3,6.1,8.7,12.4,12.7,9.9,10.1,9.4,6.8,9.4,12.2,13.9,6.8,4.5,,,
1992,4.7,7.4,10.4,9.6,7.6,11.1,11.5,13.1,7,8.2,13.1,7.4,7.4,5.5,9.6,8.4,11.4,13.4,9,6,10.3,5,10.2,11.5,10.8,6.9,5.1,,,
1991,4.4,7.5,9.3,8.2,5.4,6.4,8.3,8.2,6.5,5.5,11.7,7.9,7.9,5.1,11.5,4.9,12.3,7.3,8.6,6.1,11.5,5.6,9.7,9.2,7.4,4.8,7.5,,,
1990,4.2,6.8,9.8,7,9.1,5.4,7.5,10.2,3.5,5.2,12.1,5.2,5.2,12.9,9.1,3.6,9.2,5.3,5.8,5.3,11,5.6,7.3,5.7,9.2,4.6,5.2,,,
1989,4.9,8.7,9.1,7.9,10.3,6.6,6.6,5,2.4,8.2,6,7.9,7.9,8.3,9.4,2.8,8.2,6.6,10.4,2.8,6.9,7.7,5.9,3.7,4.8,3.6,,,,
1988,3.8,14,7.7,10,8.1,4.9,7.9,4.8,3,6.5,6.4,9.4,9.4,8.2,7.5,3.6,6.9,5.9,5.8,2.9,7.9,4.6,8.3,3.6,,,,,,
1987,8.6,6.9,3.8,5.5,5.8,2.5,5.7,3.4,1.7,3,3.5,7.8,7.8,6.9,5.9,5,5,4.4,4.1,3.9,4.6,4.9,6.4,,,,,,,
1986,6.9,4.6,4.4,3.7,5.5,2.1,4.1,5.2,2.7,3.6,4,7,7,4.8,3.9,4.9,7,3.1,4.1,4.2,4.1,5.5,8,,,,,,,
1985,4.8,2.9,3.4,1.6,5,2.2,2.7,2,5,3.9,3.8,3.7,3.7,3.7,1.7,2.4,4.7,2.2,4.8,2.8,3.4,2.1,5.4,,,,,,,
1984,3.8,2.4,4.8,2.9,3.6,2.4,2.7,2.9,4.9,2,2.3,2.3,2.3,2.9,1.9,2.5,3.6,3.7,4.1,2.3,2.5,3.7,5.4,,,,,,,
1983,2.8,2,2.8,2.3,2.8,1.7,1.3,1.3,3.4,1.4,1.9,1.7,1.7,3.1,2.5,3.2,2.8,3.5,2,1.6,1.6,3.9,2.2,,,,,,,
1982,2.3,1.6,1.8,2.6,1.2,3.3,1.3,2.3,2.9,2.5,3.3,1.7,1.7,1.5,2.9,3.8,2.1,1.9,1.5,3.2,1.8,2.2,2.3,,,,,,,
1981,2.2,2.6,4,1.6,1.1,2.6,1.7,1.6,2.9,2.6,2.1,1.9,1.9,1.8,3.9,3.1,2,2.1,1.7,4.1,1.7,1.2,2.3,,,,,,,
1980,2.9,2.9,2.6,2,1.1,1,1,1,2.9,2.2,1.4,1.4,1.4,1.8,2.1,1,1.6,2,3,5,1.8,2,2,,,,,,,
1979,5.1,2.3,1.5,1.4,1.2,2.7,1.5,0.9,2.9,3.4,4.6,2.3,2.3,3.1,3.8,2.5,1.9,3.4,2.3,6.6,1.6,2.3,,,,,,,,
